,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
171,1 week ,60.0,14.0,Flat,"Capital Residencia, Margalla Hills-2",1700.0,3.0,3.0,https://www.prop.pk/property/details-21819203.html,1100-1975,49-61
172,1 week ,36.0,12.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-22588050.html,225-1100,25-37
173,1 week ,35.0,11.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-22587916.html,225-1100,25-37
174,1 week ,45.0,11.0,Flat,E-11,1550.0,2.0,2.0,https://www.prop.pk/property/details-22581883.html,1100-1975,37-49
175,2 weeks ,65.0,10.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22539131.html,1100-1975,61-73
176,2 weeks ,55.0,8.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-22539372.html,1100-1975,49-61
177,2 weeks ,28.0,2.0,Flat,"E-11/3, E-11",800.0,2.0,2.0,https://www.prop.pk/property/details-22565080.html,225-1100,25-37
178,2 weeks ,26.0,8.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-22560825.html,225-1100,25-37
179,2 weeks ,50.0,5.0,Flat,"Capital Residencia, Margalla Hills-2",1400.0,2.0,2.0,https://www.prop.pk/property/details-22459127.html,1100-1975,49-61
180,2 weeks ,43.0,8.0,Flat,E-11,930.0,2.0,2.0,https://www.prop.pk/property/details-22558647.html,225-1100,37-49
181,2 weeks ,45.0,8.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22555294.html,1100-1975,37-49
182,2 weeks ,85.0,16.0,Flat,E-11,1600.0,3.0,3.0,https://www.prop.pk/property/details-21459777.html,1100-1975,85-97
183,2 weeks ,60.0,9.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-21334878.html,1100-1975,49-61
185,2 weeks ,55.0,7.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-21828068.html,1100-1975,49-61
186,2 weeks ,65.0,7.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-21828076.html,1100-1975,61-73
187,2 weeks ,55.0,8.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-21305464.html,1100-1975,49-61
188,2 weeks ,65.0,9.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-21305449.html,1100-1975,61-73
189,2 weeks ,35.0,7.0,Flat,"E-11/2, E-11",500.0,1.0,1.0,https://www.prop.pk/property/details-21375733.html,225-1100,25-37
190,2 weeks ,70.0,6.0,Flat,"E-11/1, E-11",1900.0,3.0,3.0,https://www.prop.pk/property/details-20906036.html,1100-1975,61-73
191,2 weeks ,80.0,6.0,Flat,"E-11/1, E-11",2600.0,4.0,4.0,https://www.prop.pk/property/details-20906043.html,1975-2850,73-85
192,2 weeks ,55.0,6.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-20178276.html,1100-1975,49-61
193,2 weeks ,65.0,7.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-20178279.html,1100-1975,61-73
194,2 weeks ,80.0,17.0,Flat,E-11,1750.0,3.0,3.0,https://www.prop.pk/property/details-22538476.html,1100-1975,73-85
195,2 weeks ,50.0,1.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-22535918.html,225-1100,49-61
196,2 weeks ,70.0,7.0,Flat,E-11,1400.0,2.0,2.0,https://www.prop.pk/property/details-22535587.html,1100-1975,61-73
197,2 weeks ,32.0,7.0,Flat,E-11,1175.0,2.0,2.0,https://www.prop.pk/property/details-22534791.html,1100-1975,25-37
198,2 weeks ,43.0,13.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21573368.html,225-1100,37-49
199,2 weeks ,19.0,6.0,Flat,"E-11/1, E-11",415.0,1.0,1.0,https://www.prop.pk/property/details-22533375.html,225-1100,14-25
200,2 weeks ,55.0,12.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22532480.html,1100-1975,49-61
201,2 weeks ,30.0,7.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-22527978.html,225-1100,25-37
203,2 weeks ,50.0,4.0,Flat,E-11,1400.0,3.0,3.0,https://www.prop.pk/property/details-21458861.html,1100-1975,49-61
204,2 weeks ,53.0,10.0,Flat,E-11,1750.0,3.0,3.0,https://www.prop.pk/property/details-21591265.html,1100-1975,49-61
205,2 weeks ,45.0,4.0,Flat,E-11,1300.0,2.0,2.0,https://www.prop.pk/property/details-22052035.html,1100-1975,37-49
